family,start_date,end_date
BABY CARE,2013-01-01,2014-02-28
BABY CARE,2014-04-01,2014-06-30
BABY CARE,2014-08-01,2014-08-31
BABY CARE,2014-11-06,2014-11-14
BABY CARE,2014-11-16,2014-12-01
BABY CARE,2015-01-01,2015-05-31
BABY CARE,2015-10-23,2015-10-31
BABY CARE,2015-11-16,2015-12-05
BOOKS,2013-01-01,2016-10-07
CELEBRATION,2013-01-01,2013-12-31
CELEBRATION,2014-02-01,2014-02-28
CELEBRATION,2014-04-01,2014-06-30
CELEBRATION,2014-08-01,2014-08-31
CELEBRATION,2015-01-01,2015-05-31
HOME AND KITCHEN I,2013-01-01,2013-12-31
HOME AND KITCHEN I,2014-02-01,2014-02-28
HOME AND KITCHEN I,2014-04-01,2014-06-30
HOME AND KITCHEN I,2014-08-01,2014-08-31
HOME AND KITCHEN II,2013-01-01,2013-12-31
HOME AND KITCHEN II,2014-02-01,2014-02-28
HOME AND KITCHEN II,2014-04-01,2014-06-30
HOME AND KITCHEN II,2014-08-01,2014-08-31
HOME APPLIANCES,2015-07-18,2015-07-25
HOME CARE,2013-01-01,2013-12-31
HOME CARE,2014-02-01,2014-02-28
HOME CARE,2014-04-01,2014-06-30
HOME CARE,2014-08-01,2014-08-31
HOME CARE,2015-01-01,2015-05-03
LADIESWEAR,2013-01-01,2014-01-01
LADIESWEAR,2014-02-01,2014-02-28
LADIESWEAR,2014-04-01,2014-06-30
LADIESWEAR,2014-08-01,2014-08-31
LADIESWEAR,2015-01-01,2015-05-31
MAGAZINES,2013-01-01,2013-12-31
MAGAZINES,2014-02-01,2014-02-28
MAGAZINES,2014-04-01,2014-06-30
MAGAZINES,2014-08-01,2014-08-31
MAGAZINES,2015-01-01,2015-03-31
PET SUPPLIES,2013-01-01,2013-12-31
PET SUPPLIES,2014-02-01,2014-02-28
PET SUPPLIES,2014-04-01,2014-06-30
PET SUPPLIES,2014-08-01,2014-08-31
PET SUPPLIES,2015-01-01,2015-05-24
PLAYERS AND ELECTRONICS,2013-01-01,2013-12-31
PLAYERS AND ELECTRONICS,2014-02-01,2014-02-28
PLAYERS AND ELECTRONICS,2014-04-01,2014-06-30
PLAYERS AND ELECTRONICS,2014-08-01,2014-08-31
PLAYERS AND ELECTRONICS,2015-01-01,2015-05-31
PRODUCE,2013-01-01,2013-03-15
SCHOOL AND OFFICE SUPPLIES,2013-01-01,2014-01-01
SCHOOL AND OFFICE SUPPLIES,2014-02-01,2014-02-28
SCHOOL AND OFFICE SUPPLIES,2014-04-01,2014-06-30
SCHOOL AND OFFICE SUPPLIES,2014-08-01,2014-08-31
SCHOOL AND OFFICE SUPPLIES,2015-01-01,2015-05-31
