date,sales
2013-01-01,10870370270508.973
2013-01-02,20062269348697.05
2013-01-03,2202534739072.7554
2013-01-04,5976245716284.607
2013-01-05,17821029294794.344
2013-01-06,21585487792498.105
2013-01-07,8537960367479.595
2013-01-08,8557550121284.943
2013-01-09,17640756387015.027
2013-01-10,-287345181338.5746
2013-01-11,3448855115422.429
2013-01-12,15276763612076.271
2013-01-13,19040125854054.496
2013-01-14,6004279210047.49
2013-01-15,6047817347204.689
2013-01-16,15152419798183.988
2013-01-17,-2753177714233.4395
2013-01-18,991769460736.5942
2013-01-19,12818190067339.838
2013-01-20,16560682794734.717
2013-01-21,3489549512164.9756
2013-01-22,3466771013110.6274
2013-01-23,12485527228348.174
2013-01-24,-5533055228261.639
2013-01-25,-1924605758333.8652
2013-01-26,9743815704187.291
2013-01-27,13308096135139.941
2013-01-28,43175060651.938995
2013-01-29,-180153412686.12875
2013-01-30,8633137905139.451
2013-01-31,-9587317132016.875
2013-02-01,-6171794932185.923
2013-02-02,5319703274704.617
2013-02-03,8739430247145.43
2013-02-04,-4642978569834.329
2013-02-05,-4941676115813.85
2013-02-06,3843716226220.4893
2013-02-07,-14352539008862.783
2013-02-08,-10853788561088.332
2013-02-09,783975146894.266
2013-02-10,4410272569493.951
2013-02-11,-8694190497891.743
2013-02-12,-8649086628161.012
2013-02-13,541249426436.02234
2013-02-14,-17185497217184.605
2013-02-15,-13160838733908.236
2013-02-16,-944392645343.9423
2013-02-17,3302889975792.281
2013-02-18,-9142618772639.791
2013-02-19,-8415159359996.555
2013-02-20,1476520508204.5676
2013-02-21,-15547360987073.162
2013-02-22,-10824732532256.502
2013-02-23,2071295552571.953
2013-02-24,6972307756947.207
2013-02-25,-4868092592389.323
2013-02-26,-3581566820776.202
2013-02-27,6805839915418.285
2013-02-28,-9794600406979.576
2013-03-01,-4724428858300.921
2013-03-02,8442381855320.389
2013-03-03,13511895518880.334
2013-03-04,1736775486420.0222
2013-03-05,3009073858694.232
2013-03-06,13279977394740.604
2013-03-07,-3531813145571.0483
2013-03-08,1241278704648.0498
2013-03-09,14019939439846.875
2013-03-10,18636698110912.355
2013-03-11,6345869361662.761
2013-03-12,7024895446624.809
2013-03-13,16669199986079.023
2013-03-14,-814439009575.8214
2013-03-15,3258648031413.977
2013-03-16,10340963280575.857
2013-03-17,10974791016021.535
2013-03-18,7015440983194.336
2013-03-19,6241149553685.75
2013-03-20,6033832355784.11
2013-03-21,5190431771298.7
2013-03-22,5837787959379.788
2013-03-23,9925387924895.164
2013-03-24,10618640628856.457
2013-03-25,6755081833798.06
2013-03-26,6046047273687.005
2013-03-27,5916467882346.738
2013-03-28,5208808246937.916
2013-03-29,5945078198007.874
2013-03-30,10209921143867.328
2013-03-31,10899733359375.936
2013-04-01,7096795771602.44
2013-04-02,6476189923103.1
2013-04-03,6450536923742.946
2013-04-04,5784913641200.825
2013-04-05,6614672540208.841
2013-04-06,10874463986425.963
2013-04-07,11678750424311.637
2013-04-08,7923658537548.724
2013-04-09,7310582140660.85
2013-04-10,7284315418082.011
2013-04-11,6608032613766.968
2013-04-12,7410954082171.593
2013-04-13,11628380354309.229
2013-04-14,12365658572470.662
2013-04-15,8544547299331.427
2013-04-16,7848268196624.865
